,,Average,,Bridgewatch,,,,,,Fort Sterling,,,,,,
Timing,Item Name,T7,T8,BW 4.3,BW 5.2,BW 5.3,BW 6.1,BW 6.2,Last Checked,FS 4.3,FS 5.2,FS 5.3,FS T6.1,FS T6.2,Last Checked,
Monthly,Jacket of Tenacity S26,159.299,335.011,,,,,,,140.182,157.520,332.442,180.194,337.580,02-03-2025,
Monthly,Scholar Robe S26,74.338,291.498,,,,,,,113.531,47.000,360.355,62.483,222.641,02-03-2025,
Monthly,Cleric Robe S26,79.522,235.875,,,,,,,108.287,65.204,257.472,65.075,214.278,02-03-2025,
Monthly,Robe of Purity S26,279.245,505.333,,,,,,,262.242,259.343,526.206,316.148,484.460,02-03-2025,
Monthly,Feyscale Robe S26,604.298,1.084.740,,,,,,,604.298,,1.084.740,,,02-03-2025,4.3 and 4.4 should be used
Monthly,Armor of Valor S26,211.210,421.263,,,,,,,240.758,205.170,479.497,187.701,363.029,02-03-2025,
Monthly,Feyscale Sandals S26,217.177,544.998,,,,,,,217.194,147.565,598.999,286.772,490.996,02-03-2025,
Monthly,Mercenary Shoes S26,61.414,128.390,,,,,,,73.217,64.666,133.145,46.359,123.634,02-03-2025,
Monthly,Graveguard Boots S26,62.397,179.648,,,,,,,57.142,61.825,171.654,68.223,187.642,02-03-2025,
Monthly,Boots of Valor S26,129.875,264.240,,,,,,,117.205,115.275,253.768,157.143,274.712,02-03-2025,
Monthly,Stalker Shoes S26,89.573,232.703,,,,,,,75.391,86.770,223.698,106.557,241.708,02-03-2025,
Monthly,Cleric Sandals S26,54.488,180.014,,,,,,,81.347,45.243,193.556,36.873,166.472,02-03-2025,
Monthly,Bloodletter S26,211.424,563.609,,,,,,,221.984,204.935,605.928,207.353,521.289,02-03-2025,
Monthly,Rift Glaive S26,285.736,854.978,,,,,,,285.736,,934.314,,775.642,02-03-2025,
Monthly,Druid Cowl S26,64.391,199.087,,,,,,,59.878,60.559,203.151,72.734,195.022,02-03-2025,
Monthly,Dawnsong S26,204.174,665.982,,,,,,,205.100,204.510,704.944,202.910,627.020,02-03-2025,
Monthly,Carving Sword S26,259.919,694.859,,,,,,,242.395,264.745,709.577,272.616,680.140,02-03-2025,
Monthly,Soldier Helmet S26,51.689,200.372,,,,,,,71.079,49.381,205.609,34.607,195.134,02-03-2025,
Monthly,Facebreaker S26,152.009,278.816,,,,,,,118.980,148.219,254.652,188.827,302.979,02-03-2025,
Monthly,Groovekeeper S26,258.009,876.662,,,,,,,325.880,218.869,966.659,229.278,786.665,02-03-2025,
Monthly,Mistwalker Jacket S26,470.828,1.139.058,,,,,,,470.828,,1.282.914,,995.202,02-03-2025,
Monthly,Royal Shoes S26,262.827,451.761,,,,,,,262.827,,451.761,,,02-03-2025,
Monthly,Cowl of Purity S26,132.627,202.783,,,,,,,141.429,122.991,192.689,133.460,212.876,02-03-2025,
Monthly,Fists of Avalon S26,318.588,788.743,,,,,,,371.024,312.073,822.392,272.666,755.094,02-03-2025,
Monthly,Great Holy Staff S26,112.988,448.837,,,,,,,143.813,96.580,468.475,98.571,429.198,02-03-2025,
Monthly,Royal Sandals S26,175.280,401.182,,,,,,,175.280,,401.182,,,02-03-2025,
Monthly,Mistwalker Hood S26,89.029,423.980,,,,,,,89.029,,416.294,,431.665,02-03-2025,
Monthly,Redemption Staff S26,311.877,712.929,,,,,,,309.161,293.138,630.000,333.331,795.858,02-03-2025,
Monthly,Mercenary Hood S26,52.386,131.364,,,,,,,84.787,36.775,153.324,35.595,109.404,02-03-2025,
Monthly,Spiked Gauntlets T9 S26,2.038.539,,,,,,,,1.930.996,2.009.500,,2.175.119,,02-03-2025,
Monthly,Hunter Jacket S26,79.449,273.465,,,,,,,93.802,72.256,319.090,72.287,227.839,02-03-2025,
Monthly,Longbow S26,128.383,546.486,,,,,,,164.937,135.689,581.782,84.521,511.189,02-03-2025,
Monthly,Hellion Jacket S26,152.625,304.687,,,,,,,124.932,157.522,302.949,175.421,306.424,02-03-2025,
Monthly,Infernal Scythe S26,173.053,556.827,,,,,,,163.446,177.917,551.577,177.794,562.076,02-03-2025,
Monthly,Staff of Balance S26,242.296,593.043,,,,,,,257.716,205.638,636.086,263.532,550.000,02-03-2025,
Monthly,Hellion Hood S26,65.035,183.497,,,,,,,62.441,62.058,186.948,70.604,180.046,02-03-2025,
Monthly,Celestial Censer S26,79.417,253.124,,,,,,,57.077,88.694,261.171,92.479,245.076,02-03-2025,
Monthly,Mace S26,131.069,513.597,,,,,,,164.281,114.955,583.545,113.971,443.649,02-03-2025,
Monthly,Astral Staff S26,386.464,1.006.026,,,,,,,386.464,,976.392,,1.035.659,02-03-2025,
Monthly,Feyscale Hat S26,76.720,380.063,,,,,,,58.684,89.999,378.687,81.476,381.439,02-03-2025,
Monthly,Enigmatic Staff S26,114.348,457.009,,,,,,,173.156,74.155,501.572,95.732,412.446,02-03-2025,
Monthly,Taproot S26,127.222,236.394,,,,,,,123.376,125.784,235.597,132.504,237.190,02-03-2025,
Monthly,Specter Hood S26,177.576,289.776,,,,,,,157.031,181.775,292.492,193.922,287.059,02-03-2025,
Monthly,Great Hammer S26,185.973,708.064,,,,,,,284.483,137.983,791.633,135.453,624.494,02-03-2025,
Monthly,Cursed Skull S26,227.873,705.483,,,,,,,249.389,199.597,729.166,234.631,681.799,02-03-2025,
Monthly,Wailing Bow S26,160.946,764.995,,,,,,,169.246,148.171,780.000,165.419,749.989,02-03-2025,
Monthly,Spirithunter T9 S26,2.016.625,,,,,,,,1.789.978,2.011.151,,2.248.746,,02-03-2025,
Monthly,Permafrost Prism T9 S26,2.345.734,,,,,,,,1.994.809,2.167.391,,2.875.000,,02-03-2025,
Monthly,Longbow T9 S26,1.731.301,,,,,,,,1.540.031,1.556.075,,2.097.796,,02-03-2025,
Monthly,Cryptcandle S26,170.918,285.015,,,,,,,135.903,170.785,277.418,206.065,292.612,02-03-2025,
Monthly,Witchwork Staff S26,185.902,570.642,,,,,,,242.494,165.575,535.725,149.637,605.558,02-03-2025,
Monthly,Mistwalker Shoes S26,230.278,467.455,,,,,,,176.381,255.095,485.296,259.357,449.613,02-03-2025,
Monthly,Realmbreaker T9 S26,1.955.860,,,,,,,,1.648.626,1.758.771,,2.460.181,,02-03-2025,
Monthly,Caitiff Shield S26,50.662,177.315,,,,,,,59.049,55.196,244.619,37.740,110.011,02-03-2025,
Monthly,Wailing Bow T9 S26,1.959.709,,,,,,,,1.717.666,1.919.988,,2.241.471,,02-03-2025,
Monthly,Royal Hood S26,222.144,520.936,,,,,,,222.144,,526.325,,515.547,02-03-2025,
Monthly,Assassin Jacket S26,88.582,283.362,,,,,,,90.533,86.454,285.096,88.759,281.627,02-03-2025,
Monthly,Hellfire Hands T9 S26,2.193.050,,,,,,,,1.937.518,2.293.113,,2.348.517,,02-03-2025,
Monthly,Fallen Staff S26,124.560,675.717,,,,,,,137.684,121.904,709.407,114.091,642.026,02-03-2025,
Monthly,Rift Glaive T9 S26,2.589.054,,,,,,,,2.589.054,,,,,02-03-2025,
Monthly,Rotcaller Staff S26,302.414,772.352,,,,,,,302.414,,746.603,,798.101,02-03-2025,
Monthly,Brimstone Staff S26,139.381,546.438,,,,,,,135.592,164.926,505.634,117.623,587.242,03-03-2025,
Monthly,Infernal Scythe T9 S26,1.749.724,,,,,,,,1.533.247,1.788.653,,1.927.271,,03-03-2025,
Monthly,Guardian Boots S26,42.520,131.183,,,,,,,43.139,48.891,161.525,35.528,100.840,03-03-2025,
Monthly,Bear Paws S26,281.187,579.756,,,,,,,224.076,293.334,547.895,326.150,611.617,03-03-2025,
